Nome,Squadra,Ruolo,Media,ALG FCP,Punteggio FantaCalcioPedia,Solidità fantainvestimento,Resistenza infortuni,Ultimi Arrivi,In Crescita,Rischiosi,Fuoriclasse,Outsider,Titolari,Economici,Giovani,Infortunati,Buona Media,Goleador,Assistman,Rigorista,Sp. Piazzati,Presenze previste,Gol previsti,Assist previsti
BERNABE ADRIAN,Parma,C,66.0,79,65,60,60,,,,Fuoriclasse,,,,,,,Goleador,Assistman,,,30+,4/7,4/7
Pessina,Monza,C,65.5,71,71,60,60,,,,,Outsider,,,,,Buona Media,,Assistman,,,21/30,3/5,3/5
Lazovic,Verona,C,64.5,69,69,40,80,,,,,,,,,,Buona Media,,Assistman,,,21/30,3/5,3/5
Barak,Fiorentina,C,64.25,83,74,60,40,,,,,,,,,,Buona Media,Goleador,Assistman,Rigorista,,21/30,4/7,3/5
Frendrup,Genoa,C,64.0,70,66,60,60,,,,,,,,,,Buona Media,,,,,30+,0/3,0/2
Frattesi,Inter,C,63.75,83,72,40,60,,,,,,,,,,Buona Media,Goleador,,,,21/30,3/5,0/3
Musah,Milan,C,63.0,62,70,60,60,,,,,,,,,,Buona Media,,,,,11/20,0/3,0/2
Lobotka,Napoli,C,62.75,81,70,40,60,,,,Fuoriclasse,,,,,,Buona Media,,,,,21/30,0/3,0/3
KOVALENKO VIKTOR,Atalanta,C,62.75,66,65,40,80,,,,,,,,,,,Goleador,,,,0/10,0/3,0/3
Tameze,Torino,C,62.5,66,64,40,80,,,,,,,,,,,,,,,21/30,0/3,0/2
Duda,Verona,C,62.25,66,63,40,80,,,,,,,,,,,,,Rigorista,,11/20,0/2,0/3
Serdar,Verona,C,62.25,59,70,60,60,,,,,,,,,,,Goleador,,,,21/30,3/5,3/5
Mandragora,Fiorentina,C,62.0,76,72,60,40,,,,,,,,,,Buona Media,,,,,11/20,0/3,0/3
Linetty,Torino,C,61.25,71,74,40,60,,,,,,,,,,Buona Media,,,,,21/30,3/5,0/3
Sulemana I.,Atalanta,C,61.25,64,61,40,80,,,,,,,,,,,,,,,11/20,0/2,0/2
ARTHUR MELO,Juventus,C,61.0,73,71,60,40,,,,,,,,,,,,Assistman,,,21/30,3/5,4/7
BASIC TOMA,Lazio,C,61.0,58,66,40,80,,,,,,,,,,,,,,,11/20,3/5,0/3
Vecino,Lazio,C,60.75,69,74,40,60,,,,,,,,,,Buona Media,,,,,21/30,3/5,0/3
GONZALEZ JOAN,Lecce,C,60.75,68,75,40,60,,,,,,,,,,,,,,,11/20,0/2,0/2
Zurkowski,Empoli,C,60.75,59,64,60,60,,,,,,,,,,,Goleador,,,,11/20,3/5,3/5
Samardzic,Atalanta,C,60.5,81,61,40,60,,,,,Outsider,,,,,Buona Media,,Assistman,,,11/20,3/5,3/5
Henderson L.,Empoli,C,60.5,60,62,40,80,,,,,,,,,,,,,,,11/20,0/2,0/2
Brescianini,Atalanta,C,60.0,76,64,40,60,,,,,Outsider,,,,,,Goleador,,,,11/20,3/5,3/5
Le Fee,Roma,C,59.5,70,68,60,40,,,,,Outsider,,,,,,Goleador,,,,21/30,3/5,3/5
Cyprien,Parma,C,59.5,54,64,60,60,,,,,,,,,,,,,,,21/30,0/3,0/3
Jankto,Cagliari,C,59.5,46,72,60,60,,,,,,,,,,Buona Media,,Assistman,,,21/30,3/5,4/7
KYRIAKOPOULOS GEORGIOS,Monza,C,59.25,72,65,40,60,,,,,,,,,,,,,,,11/20,0/1,0/2
Aebischer,Bologna,C,59.0,72,64,60,40,,,,,,,,,,Buona Media,,,,,11/20,0/3,0/3
Zarraga,Udinese,C,59.0,50,66,60,60,,,,,,,,,,Buona Media,,,,,21/30,0/2,0/3
Mazzitelli,Como,C,58.75,65,70,60,40,,,,,,,,,,,,Assistman,,,21/30,0/3,3/5
Maleh,Empoli,C,58.25,67,66,40,60,,,,,,,,,,Buona Media,,Assistman,,,11/20,0/3,0/3
Gagliardini,Monza,C,58.25,64,69,40,60,,,,,,,,,,Buona Media,,,,,11/20,0/2,0/3
Bohinen,Genoa,C,58.25,49,64,40,80,,,,,,,,,,,,,,,11/20,0/2,0/2
Cataldi,Lazio,C,58.0,67,65,40,60,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/3
Rovella,Lazio,C,58.0,64,68,40,60,,,,,Outsider,,,,,Buona Media,,,,,21/30,0/1,0/2
Freuler,Bologna,C,57.75,77,74,40,40,,,,,,,,,,,,,,,21/30,3/5,0/3
Lovric,Udinese,C,57.75,67,64,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Asllani,Inter,C,57.75,66,65,40,60,,,,,,,,,,,,Assistman,,,11/20,0/3,0/3
Marin,Cagliari,C,57.75,64,67,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Miretti,Juventus,C,57.75,55,76,40,60,,,,,,,,,,,,,,,11/20,0/2,0/3
Ricci S.,Torino,C,57.5,67,63,40,60,,,,,Outsider,,,,,,,,,,21/30,3/5,0/3
Pobega,Milan,C,57.5,60,70,40,60,,,,,,,,,,Buona Media,,,,,21/30,3/5,0/3
Thorsby,Genoa,C,57.0,64,64,40,60,,,,,,,,,,,,,,,21/30,0/2,0/2
Richardson,Fiorentina,C,57.0,64,64,40,60,,,,,Outsider,,,,,,,,,,21/30,3/5,0/3
Ramadani,Lecce,C,56.75,62,65,40,60,,,,,,,,,,,,,,,21/30,0/3,0/2
Folorunsho,Napoli,C,56.5,78,68,40,40,,,,,Outsider,,,,,,Goleador,,,,21/30,4/7,0/1
Bove,Roma,C,56.5,65,61,40,60,,,,,Outsider,,,,,Buona Media,,,,,21/30,0/3,0/3
Makoumbou,Cagliari,C,56.5,58,68,40,60,,,,,,,,,,,,,,,30+,0/3,0/3
Baselli,Como,C,56.5,52,74,60,40,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/3
Coulibaly L.,Lecce,C,56.25,63,62,40,60,,,,,,,,,,Buona Media,,,,,30+,0/3,0/3
Hernani,Parma,C,56.25,56,69,40,60,,,,,,,,,,Buona Media,,,,,21/30,3/5,3/5
TERRACCIANO FILIPPO,Milan,C,56.0,62,62,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Paredes,Roma,C,55.75,68,75,40,40,,,,,,,,,,Buona Media,,Assistman,,,21/30,0/3,0/3
Engelhardt,Como,C,55.75,60,63,40,60,,,,,Outsider,,,,,Buona Media,,,,,21/30,0/3,0/3
Amrabat,Fiorentina,C,55.75,58,65,40,60,,,,,,,,,,,,,,,0/10,0/2,0/2
Felici,Cagliari,C,55.5,63,59,40,60,,,,,Outsider,,,,,,Goleador,,,,21/30,3/5,0/3
Ciurria,Monza,C,55.5,59,63,40,60,,,,,,,,,,Buona Media,,Assistman,,,21/30,0/3,4/7
Harroui,Verona,C,55.25,57,64,40,60,,,,,,,,,,,,,,,21/30,0/3,0/3
